REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-52,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Apr-52,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,651000,,,,0
Apr-52,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,524000,,,,0
Apr-52,Quebec,2016A000224,Persons,249,units,0,v11,6,4153000,,,,0
Apr-52,Ontario,2016A000235,Persons,249,units,0,v12,7,4757000,,,,0
Apr-52,Manitoba,2016A000246,Persons,249,units,0,v13,8,794000,,,,0
Apr-52,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,838000,,,,0
Apr-52,Alberta,2016A000248,Persons,249,units,0,v15,10,965000,,,,0
Apr-52,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1198000,,,,0
Apr-52,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Apr-52,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Jul-52,Canada,2016A000011124,Persons,249,units,0,v1,1,14496000,,,,0
Jul-52,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,375000,,,,0
Jul-52,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Jul-52,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,654000,,,,0
Jul-52,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,527000,,,,0
Jul-52,Quebec,2016A000224,Persons,249,units,0,v11,6,4183000,,,,0
Jul-52,Ontario,2016A000235,Persons,249,units,0,v12,7,4802000,,,,0
Jul-52,Manitoba,2016A000246,Persons,249,units,0,v13,8,799000,,,,0
Jul-52,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,845000,,,,0
Jul-52,Alberta,2016A000248,Persons,249,units,0,v15,10,977000,,,,0
Jul-52,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1209000,,,,0
Jul-52,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Jul-52,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Oct-52,Canada,2016A000011124,Persons,249,units,0,v1,1,14598000,,,,0
Oct-52,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,377000,,,,0
Oct-52,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Oct-52,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,657000,,,,0
Oct-52,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,529000,,,,0
Oct-52,Quebec,2016A000224,Persons,249,units,0,v11,6,4209000,,,,0
Oct-52,Ontario,2016A000235,Persons,249,units,0,v12,7,4841000,,,,0
Oct-52,Manitoba,2016A000246,Persons,249,units,0,v13,8,802000,,,,0
Oct-52,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,850000,,,,0
Oct-52,Alberta,2016A000248,Persons,249,units,0,v15,10,985000,,,,0
Oct-52,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1222000,,,,0
Oct-52,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Oct-52,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Jan-53,Canada,2016A000011124,Persons,249,units,0,v1,1,14682000,,,,0
Jan-53,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,379000,,,,0
Jan-53,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Jan-53,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,660000,,,,0
Jan-53,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,530000,,,,0
Jan-53,Quebec,2016A000224,Persons,249,units,0,v11,6,4228000,,,,0
Jan-53,Ontario,2016A000235,Persons,249,units,0,v12,7,4876000,,,,0
Jan-53,Manitoba,2016A000246,Persons,249,units,0,v13,8,804000,,,,0
Jan-53,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,852000,,,,0
Jan-53,Alberta,2016A000248,Persons,249,units,0,v15,10,994000,,,,0
Jan-53,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1233000,,,,0
Jan-53,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Jan-53,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Apr-53,Canada,2016A000011124,Persons,249,units,0,v1,1,14763000,,,,0
Apr-53,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,382000,,,,0
Apr-53,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Apr-53,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,662000,,,,0
Apr-53,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,532000,,,,0
Apr-53,Quebec,2016A000224,Persons,249,units,0,v11,6,4249000,,,,0
Apr-53,Ontario,2016A000235,Persons,249,units,0,v12,7,4907000,,,,0
Apr-53,Manitoba,2016A000246,Persons,249,units,0,v13,8,806000,,,,0
Apr-53,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,855000,,,,0
Apr-53,Alberta,2016A000248,Persons,249,units,0,v15,10,1002000,,,,0
Apr-53,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1242000,,,,0
Apr-53,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Apr-53,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Jul-53,Canada,2016A000011124,Persons,249,units,0,v1,1,14886000,,,,0
Jul-53,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,384000,,,,0
Jul-53,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Jul-53,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,664000,,,,0
Jul-53,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,533000,,,,0
Jul-53,Quebec,2016A000224,Persons,249,units,0,v11,6,4281000,,,,0
Jul-53,Ontario,2016A000235,Persons,249,units,0,v12,7,4956000,,,,0
Jul-53,Manitoba,2016A000246,Persons,249,units,0,v13,8,810000,,,,0
Jul-53,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,863000,,,,0
Jul-53,Alberta,2016A000248,Persons,249,units,0,v15,10,1016000,,,,0
Jul-53,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1253000,,,,0
Jul-53,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Jul-53,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Oct-53,Canada,2016A000011124,Persons,249,units,0,v1,1,15001000,,,,0
Oct-53,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,387000,,,,0
Oct-53,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Oct-53,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,667000,,,,0
Oct-53,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,535000,,,,0
Oct-53,Quebec,2016A000224,Persons,249,units,0,v11,6,4310000,,,,0
Oct-53,Ontario,2016A000235,Persons,249,units,0,v12,7,5002000,,,,0
Oct-53,Manitoba,2016A000246,Persons,249,units,0,v13,8,814000,,,,0
Oct-53,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,866000,,,,0
Oct-53,Alberta,2016A000248,Persons,249,units,0,v15,10,1029000,,,,0
Oct-53,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1265000,,,,0
Oct-53,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Oct-53,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Jan-54,Canada,2016A000011124,Persons,249,units,0,v1,1,15105000,,,,0
Jan-54,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,390000,,,,0
Jan-54,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Jan-54,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,668000,,,,0
Jan-54,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,537000,,,,0
Jan-54,Quebec,2016A000224,Persons,249,units,0,v11,6,4337000,,,,0
Jan-54,Ontario,2016A000235,Persons,249,units,0,v12,7,5047000,,,,0
Jan-54,Manitoba,2016A000246,Persons,249,units,0,v13,8,816000,,,,0
Jan-54,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,867000,,,,0
Jan-54,Alberta,2016A000248,Persons,249,units,0,v15,10,1039000,,,,0
Jan-54,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1278000,,,,0
Jan-54,Yukon,2016A000260,Persons,249,units,0,v4,12,9000,,,,0
Jan-54,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,16000,,,t,0
Apr-54,Canada,2016A000011124,Persons,249,units,0,v1,1,15199000,,,,0
Apr-54,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,393000,,,,0
Apr-54,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Apr-54,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,670000,,,,0
Apr-54,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,538000,,,,0
Apr-54,Quebec,2016A000224,Persons,249,units,0,v11,6,4365000,,,,0
Apr-54,Ontario,2016A000235,Persons,249,units,0,v12,7,5082000,,,,0
Apr-54,Manitoba,2016A000246,Persons,249,units,0,v13,8,819000,,,,0
Apr-54,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,869000,,,,0
Apr-54,Alberta,2016A000248,Persons,249,units,0,v15,10,1047000,,,,0
Apr-54,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1288000,,,,0
Apr-54,Yukon,2016A000260,Persons,249,units,0,v4,12,10000,,,,0
Apr-54,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,17000,,,t,0
Jul-54,Canada,2016A000011124,Persons,249,units,0,v1,1,15330000,,,,0
Jul-54,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,396000,,,,0
Jul-54,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Jul-54,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,674000,,,,0
Jul-54,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,541000,,,,0
Jul-54,Quebec,2016A000224,Persons,249,units,0,v11,6,4402000,,,,0
Jul-54,Ontario,2016A000235,Persons,249,units,0,v12,7,5130000,,,,0
Jul-54,Manitoba,2016A000246,Persons,249,units,0,v13,8,825000,,,,0
Jul-54,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,874000,,,,0
Jul-54,Alberta,2016A000248,Persons,249,units,0,v15,10,1061000,,,,0
Jul-54,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1299000,,,,0
Jul-54,Yukon,2016A000260,Persons,249,units,0,v4,12,10000,,,,0
Jul-54,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,17000,,,t,0
Oct-54,Canada,2016A000011124,Persons,249,units,0,v1,1,15444000,,,,0
Oct-54,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,399000,,,,0
Oct-54,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,101000,,,,0
Oct-54,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,676000,,,,0
Oct-54,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,543000,,,,0
Oct-54,Quebec,2016A000224,Persons,249,units,0,v11,6,4436000,,,,0
Oct-54,Ontario,2016A000235,Persons,249,units,0,v12,7,5174000,,,,0
Oct-54,Manitoba,2016A000246,Persons,249,units,0,v13,8,830000,,,,0
Oct-54,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,877000,,,,0
Oct-54,Alberta,2016A000248,Persons,249,units,0,v15,10,1070000,,,,0
Oct-54,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1311000,,,,0
Oct-54,Yukon,2016A000260,Persons,249,units,0,v4,12,10000,,,,0
Oct-54,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,17000,,,t,0
Jan-55,Canada,2016A000011124,Persons,249,units,0,v1,1,15535000,,,,0
Jan-55,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,401000,,,,0
Jan-55,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Jan-55,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,678000,,,,0
Jan-55,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,544000,,,,0
Jan-55,Quebec,2016A000224,Persons,249,units,0,v11,6,4465000,,,,0
Jan-55,Ontario,2016A000235,Persons,249,units,0,v12,7,5208000,,,,0
Jan-55,Manitoba,2016A000246,Persons,249,units,0,v13,8,833000,,,,0
Jan-55,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,877000,,,,0
Jan-55,Alberta,2016A000248,Persons,249,units,0,v15,10,1078000,,,,0
Jan-55,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1323000,,,,0
Jan-55,Yukon,2016A000260,Persons,249,units,0,v4,12,11000,,,,0
Jan-55,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,17000,,,t,0
